timepoint_id,z(um),z-surf(um),r(um)
10,274.304,205.72799999999998,0.0
10,278.59,210.01399999999998,0.0
10,282.876,214.29999999999998,0.0
10,287.162,218.58599999999998,0.0
10,291.448,222.87199999999999,0.0
10,295.734,227.158,0.0
10,300.02,231.444,0.0
10,304.306,235.73,0.0
10,308.592,240.016,0.0
10,312.878,244.302,0.0
10,317.164,248.588,0.0
10,321.45,252.874,0.0
10,325.736,257.15999999999997,0.0
10,330.022,261.446,0.0
15,0.0,-38.574,0.0
15,4.286,-34.288,0.0
15,8.572,-30.002,0.0
15,12.857999999999999,-25.716,106.44230865590993
15,17.144,-21.43,703.7327476819593
15,21.43,-17.144,1036.4194614151165
15,25.715999999999998,-12.858,1073.9749408249709
15,30.001999999999995,-8.572000000000003,1133.685065576929
15,34.288,-4.286000000000001,1198.5019359183366
